"Year","Energy","Industry","Agriculture","Waste","Tokelau","LULUCF","Net","Gross"
1990,23880.3034421984,3579.92413464389,33312.045282498,3944.63083401005,3.16775456311458,-20171.2292053781,44548.8422425354,64720.0714479134
1991,24346.4899910365,3728.61112229878,33557.0641180865,4052.98697888952,3.27954041047239,-22160.7956744936,43527.6360762282,65688.4317507219
1992,26189.9026066816,3374.09261256819,33113.2850409734,4154.45983433228,3.24220006090029,-22014.7198877337,44820.2624068827,66834.9822946164
1993,25710.7408844102,3213.57292400559,33506.0285632522,4260.27857663211,3.20515207326391,-22935.4016276518,43758.4244727215,66693.8261003733
1994,26020.6775884201,3087.5896047327,34605.1018586346,4142.69111177011,3.17192043439932,-22910.4551874354,44948.7768965564,67859.2320839918
1995,25798.488586704,3181.32787012605,35176.3716946097,4235.3677563774,3.14034009075122,-21829.0443404053,46565.6519075026,68394.6962479079
1996,27373.3669757374,3352.92343488705,35500.5160118006,4321.62456820775,3.11081501385386,-21560.3007003931,48991.2411052536,70551.5418056467
1997,29388.2104677227,3274.90329029825,36330.8304821625,4384.36614906921,3.20658591184378,-22308.4591838014,51073.0577913631,73381.5169751645
1998,27806.5412321824,3254.73406346746,35740.3670259392,4381.92800243625,3.30217224175325,-23006.1332218821,48180.739274385,71186.872496267
1999,29147.9534366244,3440.22651690541,35974.6133507872,4409.28108620539,3.39759932804164,-25826.7932364249,47148.6787534256,72975.4719898504
2000,29864.0109067596,3477.78478796031,37068.757170261,4436.42730062008,3.49230245762765,-26788.9779196586,48061.4945484001,74850.4724680587
2001,31867.2952406784,3590.56904990601,37837.1676000892,4457.16923051027,3.58932969439676,-27356.2249464945,50399.5655043837,77755.7904508783
2002,31815.0212129303,3666.05723959001,37727.7510368069,4470.02057124098,3.59077921218031,-25956.2640101203,51726.17682966,77682.4408397803
2003,33276.3310495376,3871.96434671555,38300.9726261726,4374.53547118171,3.58818956402489,-27086.7913322552,52740.6003509163,79827.3916831715
2004,32927.6665531967,3930.46099158121,38414.9704155728,4392.10556836718,4.0382458960681,-27033.8920412699,52635.349733344,79669.2417746139
2005,34525.1513599379,4048.56191025637,38794.3070941335,4379.66847231144,4.48717638675607,-25299.4609269112,56452.7150861148,81752.1760130259
2006,34913.3915799001,4144.66897430843,38529.2601749069,4181.56858570155,4.47291461307839,-23254.5008093891,58518.8614200409,81773.3622294301
2007,33487.8323417492,4372.98786210382,37663.1957654217,4144.8335378035,4.48298081287734,-21615.5861832507,58057.7463046403,79673.3324878911
2008,34627.7351392241,4259.8239259407,36398.5773027183,4059.77002893103,4.49666992503122,-29373.3602502109,49977.0428165282,79350.4030667391
2009,31969.600303421,4219.31912755301,36525.2756034514,3928.60565067752,4.50969286192527,-28229.033112847,48418.2772651179,76647.3103779649
2010,32127.2428010778,4563.28832887831,36759.8364494555,3873.13094118534,4.52417788194362,-29225.2118979641,48102.8108005148,77328.0226984789
2011,31448.583059586,4595.21497542404,37334.4407590047,3723.36822710889,4.54080840745352,-29492.0772007936,47614.0706287374,77106.147829531
2012,32822.4134597802,4623.52764255234,38019.0513437722,3617.65307112435,4.26799328250151,-26547.2849127418,52539.6285977697,79086.9135105115
2013,31954.7576472717,4723.67101656685,38179.9484853348,3568.10987947222,3.51910782222493,-26211.2578466818,52218.748289786,78430.0061364678
2014,32011.3645012956,4917.18370111812,38755.2335911088,3525.3600125516,3.48342525007483,-26423.8379244935,52788.7873068307,79212.6252313242
2015,32243.8369301676,5032.14033611035,38269.3801041417,3488.20814518285,3.42343656584417,-26396.2117542563,52640.7771979121,79036.9889521683
2016,30845.0793864383,4767.7619185912,37853.5246067598,3460.41088789688,3.44719206092729,-26085.4865212929,50844.7374704542,76930.2239917472
2017,32278.2221227923,4799.33375105394,38007.7588146219,3422.55253164516,3.53322120717131,-24484.0589493396,54027.3414919809,78511.4004413205
2018,32368.72062046,4721.64446269753,38326.0017643297,3356.29678077402,3.637561009268,-24086.785537111,54689.5156521595,78776.3011892705
2019,33499.4872386427,4775.11206618553,38399.8311082511,3311.06270709023,4.30034743632988,-23921.6981600437,56068.0953075622,79989.7934676059
2020,31116.9315302014,4582.86717783305,38360.1927353268,3266.49045804253,4.17896822598415,-23242.0387415103,54088.6221281194,77330.6608696297
2021,31210.1211550159,4609.61627003669,37786.1368768313,3214.93165795971,3.78122194620431,-21078.1683667903,55746.4188149995,76824.5871817898
